source_node_id	hour	msgs
!49ea4c9c	2026-07-03 09:00:00	8
!49ea4c9c	2026-07-03 10:00:00	20
!49ea4c9c	2026-07-03 11:00:00	14
!49ea4c9c	2026-07-03 12:00:00	28
!49ea4c9c	2026-07-03 13:00:00	12
!49ea4c9c	2026-07-03 14:00:00	16
!49ea4c9c	2026-07-03 15:00:00	28
!49ea4c9c	2026-07-03 16:00:00	14
!49ea4c9c	2026-07-03 17:00:00	14
!49ea4c9c	2026-07-03 18:00:00	22
!49ea4c9c	2026-07-03 19:00:00	18
!49ea4c9c	2026-07-03 20:00:00	20
!49ea4c9c	2026-07-03 21:00:00	20
!49ea4c9c	2026-07-03 22:00:00	20
!49ea4c9c	2026-07-03 23:00:00	10
!49ea4c9c	2026-07-04 00:00:00	30
!49ea4c9c	2026-07-04 01:00:00	24
!49ea4c9c	2026-07-04 02:00:00	12
!49ea4c9c	2026-07-04 03:00:00	28
!49ea4c9c	2026-07-04 04:00:00	22
!49ea4c9c	2026-07-04 05:00:00	18
!49ea4c9c	2026-07-04 06:00:00	14
!49ea4c9c	2026-07-04 07:00:00	14
!49ea4c9c	2026-07-04 08:00:00	20
!49ea4c9c	2026-07-04 09:00:00	18
!49ea4c9c	2026-07-04 10:00:00	18
!49ea4c9c	2026-07-04 11:00:00	12
!4af2e6c3	2026-06-27 11:00:00	3
!4af2e6c3	2026-06-27 13:00:00	3
!4af2e6c3	2026-06-27 14:00:00	7
!4af2e6c3	2026-06-27 15:00:00	4
!4af2e6c3	2026-06-27 16:00:00	3
!4af2e6c3	2026-06-27 17:00:00	6
!4af2e6c3	2026-06-27 18:00:00	1
!4af2e6c3	2026-06-27 19:00:00	2
!4af2e6c3	2026-06-27 20:00:00	4
!4af2e6c3	2026-06-27 21:00:00	2
!4af2e6c3	2026-06-27 22:00:00	4
!4af2e6c3	2026-06-27 23:00:00	7
!4af2e6c3	2026-06-28 00:00:00	1
!4af2e6c3	2026-06-28 01:00:00	1
!4af2e6c3	2026-06-28 02:00:00	3
!4af2e6c3	2026-06-28 03:00:00	4
!4af2e6c3	2026-06-28 04:00:00	5
!4af2e6c3	2026-06-28 05:00:00	1
!4af2e6c3	2026-06-28 06:00:00	2
!4af2e6c3	2026-06-28 08:00:00	2
!4af2e6c3	2026-06-28 09:00:00	2
!4af2e6c3	2026-06-28 10:00:00	2
!4af2e6c3	2026-06-28 11:00:00	6
!4af2e6c3	2026-06-28 12:00:00	2
!4af2e6c3	2026-06-28 13:00:00	6
!4af2e6c3	2026-06-28 14:00:00	12
!4af2e6c3	2026-06-28 16:00:00	4
!4af2e6c3	2026-06-28 17:00:00	20
!4af2e6c3	2026-06-28 18:00:00	2
!4af2e6c3	2026-06-28 19:00:00	2
!4af2e6c3	2026-06-28 20:00:00	4
!4af2e6c3	2026-06-28 21:00:00	2
!4af2e6c3	2026-06-28 22:00:00	2
!4af2e6c3	2026-06-28 23:00:00	6
!4af2e6c3	2026-06-29 00:00:00	8
!4af2e6c3	2026-06-29 01:00:00	2
!4af2e6c3	2026-06-29 02:00:00	4
!4af2e6c3	2026-06-29 03:00:00	6
!4af2e6c3	2026-06-29 04:00:00	2
